   -1.51661 1.00293   -1.51657 1.00294   -1.51652 1.00294   -1.51647 1.00295
   -1.51643 1.00295   -1.51638 1.00296   -1.51634 1.00296   -1.51629 1.00297
   -1.51624 1.00297   -1.51620 1.00298   -1.51615 1.00298   -1.51610 1.00299
   -1.51606 1.00299   -1.51601 1.00300   -1.51596 1.00300   -1.51592 1.00301
   -1.51587 1.00301   -1.51582 1.00302   -1.51577 1.00302   -1.51573 1.00303
   -1.51568 1.00303   -1.51563 1.00304   -1.51558 1.00305   -1.51554 1.00305
   -1.51549 1.00306   -1.51544 1.00306   -1.51539 1.00307   -1.51535 1.00307
   -1.51530 1.00308   -1.51525 1.00308   -1.51520 1.00309   -1.51515 1.00309
   -1.51510 1.00310   -1.51506 1.00310   -1.51501 1.00311   -1.51496 1.00311
   -1.51491 1.00312   -1.51486 1.00313   -1.51481 1.00313   -1.51476 1.00314
   -1.51471 1.00314   -1.51467 1.00315   -1.51462 1.00315   -1.51457 1.00316
   -1.51452 1.00316   -1.51447 1.00317   -1.51442 1.00318   -1.51437 1.00318
   -1.51432 1.00319   -1.51427 1.00319   -1.51422 1.00320   -1.51417 1.00320
   -1.51412 1.00321   -1.51407 1.00321   -1.51402 1.00322   -1.51397 1.00323
   -1.51392 1.00323   -1.51387 1.00324   -1.51382 1.00324   -1.51377 1.00325
   -1.51372 1.00325   -1.51366 1.00326   -1.51361 1.00327   -1.51356 1.00327
   -1.51351 1.00328   -1.51346 1.00328   -1.51341 1.00329   -1.51336 1.00330
   -1.51331 1.00330   -1.51325 1.00331   -1.51320 1.00331   -1.51315 1.00332
   -1.51310 1.00333   -1.51305 1.00333   -1.51299 1.00334   -1.51294 1.00334
   -1.51289 1.00335   -1.51284 1.00336   -1.51279 1.00336   -1.51273 1.00337
   -1.51268 1.00337   -1.51263 1.00338   -1.51257 1.00339   -1.51252 1.00339
   -1.51247 1.00340   -1.51242 1.00340   -1.51236 1.00341   -1.51231 1.00342
   -1.51226 1.00342   -1.51220 1.00343   -1.51215 1.00344   -1.51209 1.00344
   -1.51204 1.00345   -1.51199 1.00345   -1.51193 1.00346   -1.51188 1.00347
   -1.51182 1.00347   -1.51177 1.00348   -1.51172 1.00349   -1.51166 1.00349
   -1.51161 1.00350   -1.51155 1.00351   -1.51150 1.00351   -1.51144 1.00352
   -1.51139 1.00353   -1.51133 1.00353   -1.51128 1.00354   -1.51122 1.00355
   -1.51117 1.00355   -1.51111 1.00356   -1.51105 1.00356   -1.51100 1.00357
   -1.51094 1.00358   -1.51089 1.00358   -1.51083 1.00359   -1.51077 1.00360
   -1.51072 1.00361   -1.51066 1.00361   -1.51061 1.00362   -1.51055 1.00363
   -1.51049 1.00363   -1.51044 1.00364   -1.51038 1.00365   -1.51032 1.00365
   -1.51026 1.00366   -1.51021 1.00367   -1.51015 1.00367   -1.51009 1.00368
   -1.51003 1.00369   -1.50998 1.00369   -1.50992 1.00370   -1.50986 1.00371
   -1.50980 1.00372   -1.50975 1.00372   -1.50969 1.00373   -1.50963 1.00374
   -1.50957 1.00374   -1.50951 1.00375   -1.50945 1.00376   -1.50939 1.00377
   -1.50934 1.00377   -1.50928 1.00378   -1.50922 1.00379   -1.50916 1.00379
   -1.50910 1.00380   -1.50904 1.00381   -1.50898 1.00382   -1.50892 1.00382
   -1.50886 1.00383   -1.50880 1.00384   -1.50874 1.00385   -1.50868 1.00385
   -1.50862 1.00386   -1.50856 1.00387   -1.50850 1.00388   -1.50844 1.00388
   -1.50838 1.00389   -1.50832 1.00390   -1.50826 1.00391   -1.50819 1.00391
   -1.50813 1.00392   -1.50807 1.00393   -1.50801 1.00394   -1.50795 1.00394
   -1.50789 1.00395   -1.50783 1.00396   -1.50776 1.00397   -1.50770 1.00398
   -1.50764 1.00398   -1.50758 1.00399   -1.50751 1.00400   -1.50745 1.00401
   -1.50739 1.00402   -1.50733 1.00402   -1.50726 1.00403   -1.50720 1.00404
   -1.50714 1.00405   -1.50707 1.00406   -1.50701 1.00406   -1.50695 1.00407
   -1.50688 1.00408   -1.50682 1.00409   -1.50676 1.00410   -1.50669 1.00410
   -1.50663 1.00411   -1.50656 1.00412   -1.50650 1.00413   -1.50643 1.00414
   -1.50637 1.00415   -1.50630 1.00415   -1.50624 1.00416   -1.50617 1.00417
   -1.50611 1.00418   -1.50604 1.00419   -1.50598 1.00420   -1.50591 1.00420
   -1.50585 1.00421   -1.50578 1.00422   -1.50572 1.00423   -1.50565 1.00424
   -1.50558 1.00425   -1.50552 1.00426   -1.50545 1.00426   -1.50538 1.00427
   -1.50532 1.00428   -1.50525 1.00429   -1.50518 1.00430   -1.50511 1.00431
   -1.50505 1.00432   -1.50498 1.00433   -1.50491 1.00433   -1.50484 1.00434
   -1.50478 1.00435   -1.50471 1.00436   -1.50464 1.00437   -1.50457 1.00438
   -1.50450 1.00439   -1.50443 1.00440   -1.50437 1.00441   -1.50430 1.00442
   -1.50423 1.00442   -1.50416 1.00443   -1.50409 1.00444   -1.50402 1.00445
   -1.50395 1.00446   -1.50388 1.00447   -1.50381 1.00448   -1.50374 1.00449
   -1.50367 1.00450   -1.50360 1.00451   -1.50353 1.00452   -1.50346 1.00453
   -1.50339 1.00454   -1.50332 1.00455   -1.50325 1.00456   -1.50317 1.00457
   -1.50310 1.00458   -1.50303 1.00459   -1.50296 1.00459   -1.50289 1.00460
   -1.50282 1.00461   -1.50274 1.00462   -1.50267 1.00463   -1.50260 1.00464
   -1.50253 1.00465   -1.50245 1.00466   -1.50238 1.00467   -1.50231 1.00468
   -1.50223 1.00469   -1.50216 1.00470   -1.50209 1.00471   -1.50201 1.00472
   -1.50194 1.00473   -1.50187 1.00474   -1.50179 1.00475   -1.50172 1.00476
   -1.50164 1.00477   -1.50157 1.00478   -1.50149 1.00480   -1.50142 1.00481
   -1.50134 1.00482   -1.50127 1.00483   -1.50119 1.00484   -1.50112 1.00485
   -1.50104 1.00486   -1.50096 1.00487   -1.50089 1.00488   -1.50081 1.00489
   -1.50074 1.00490   -1.50066 1.00491   -1.50058 1.00492   -1.50051 1.00493
   -1.50043 1.00494   -1.50035 1.00495   -1.50027 1.00497   -1.50020 1.00498
   -1.50012 1.00499   -1.50004 1.00500   -1.49996 1.00501   -1.49988 1.00502
   -1.49980 1.00503   -1.49973 1.00504   -1.49965 1.00505   -1.49957 1.00506
   -1.49949 1.00508   -1.49941 1.00509   -1.49933 1.00510   -1.49925 1.00511
   -1.49917 1.00512   -1.49909 1.00513   -1.49901 1.00514   -1.49893 1.00516
   -1.49885 1.00517   -1.49877 1.00518   -1.49869 1.00519   -1.49861 1.00520
   -1.49852 1.00521   -1.49844 1.00523   -1.49836 1.00524   -1.49828 1.00525
   -1.49820 1.00526   -1.49811 1.00527   -1.49803 1.00529   -1.49795 1.00530
   -1.49787 1.00531   -1.49778 1.00532   -1.49770 1.00533   -1.49762 1.00535
   -1.49753 1.00536   -1.49745 1.00537   -1.49737 1.00538   -1.49728 1.00539
   -1.49720 1.00541   -1.49711 1.00542   -1.49703 1.00543   -1.49694 1.00544
   -1.49686 1.00546   -1.49677 1.00547   -1.49669 1.00548   -1.49660 1.00549
   -1.49651 1.00551   -1.49643 1.00552   -1.49634 1.00553   -1.49626 1.00555
   -1.49617 1.00556   -1.49608 1.00557   -1.49599 1.00558   -1.49591 1.00560
   -1.49582 1.00561   -1.49573 1.00562   -1.49564 1.00564   -1.49556 1.00565
   -1.49547 1.00566   -1.49538 1.00568   -1.49529 1.00569   -1.49520 1.00570
   -1.49511 1.00572   -1.49502 1.00573   -1.49493 1.00574   -1.49484 1.00576
   -1.49475 1.00577   -1.49466 1.00579   -1.49457 1.00580   -1.49448 1.00581
   -1.49439 1.00583   -1.49430 1.00584   -1.49421 1.00585   -1.49412 1.00587
   -1.49402 1.00588   -1.49393 1.00590   -1.49384 1.00591   -1.49375 1.00592
   -1.49366 1.00594   -1.49356 1.00595   -1.49347 1.00597   -1.49338 1.00598
   -1.49328 1.00600   -1.49319 1.00601   -1.49309 1.00603   -1.49300 1.00604
   -1.49291 1.00605   -1.49281 1.00607   -1.49272 1.00608   -1.49262 1.00610
   -1.49253 1.00611   -1.49243 1.00613   -1.49233 1.00614   -1.49224 1.00616
   -1.49214 1.00617   -1.49204 1.00619   -1.49195 1.00620   -1.49185 1.00622
